,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
99,100,New,SOTO SHUFFLE,"El Alfa, Foreign Teck",100,—,1,Anaheim,2024-10-24,City Weekly Pulse Songs
100,1,+1,PROCEDURE (feat. Latto),"GloRilla, Latto",1,2,2,Atlanta,2024-10-24,City Weekly Pulse Songs
101,2,+1,HIGH RISE,Baby Kia,2,3,4,Atlanta,2024-10-24,City Weekly Pulse Songs
102,3,New,2AM,BigXthaPlug,3,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
103,4,+2,Sexy RRed,Blo,3,6,21,Atlanta,2024-10-24,City Weekly Pulse Songs
104,5,-1,Talk to Me,Austin Awake,1,4,15,Atlanta,2024-10-24,City Weekly Pulse Songs
105,6,New,Ends of the Earth,Ty Myers,6,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
106,7,+2,Federal Nightmares,Rod Wave,7,9,2,Atlanta,2024-10-24,City Weekly Pulse Songs
107,8,-1,Georgia Peach,Latto,7,7,3,Atlanta,2024-10-24,City Weekly Pulse Songs
108,9,New,Love Somebody,Morgan Wallen,9,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
109,10,+2,WYD (with GloRilla & Big Boogie),"Moneybagg Yo, GloRilla, Big Boogie",10,12,2,Atlanta,2024-10-24,City Weekly Pulse Songs
110,11,New,HIM ALL ALONG,Gunna,11,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
111,12,-1,No Rentals (feat. Big Yavo),"Lil Rae, Big Yavo",6,11,9,Atlanta,2024-10-24,City Weekly Pulse Songs
112,13,Re-Entry,Change My Mind,Riley Green,12,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
113,14,-4,PLUTOSKI,Future,10,10,2,Atlanta,2024-10-24,City Weekly Pulse Songs
114,15,–,End Up Gone,ian,15,15,3,Atlanta,2024-10-24,City Weekly Pulse Songs
115,16,New,Rich as Hell,Raq baby,16,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
116,17,-4,My Time,Noodah05,8,13,7,Atlanta,2024-10-24,City Weekly Pulse Songs
117,18,-1,Z PAP,"Lil Dre6o, YC Lilkenta, Lil Rae",17,17,10,Atlanta,2024-10-24,City Weekly Pulse Songs
