,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
1651,52,-16,Darkest Hour (Helene Edit),Eric Church,4,36,3,Nashville,2024-10-24,City Weekly Pulse Songs
1652,53,-24,"CHOPPA, COCK IT, POP IT",Big Boogie,8,29,10,Nashville,2024-10-24,City Weekly Pulse Songs
1653,54,New,Rogue,Upchurch,54,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1654,55,-10,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,5,45,15,Nashville,2024-10-24,City Weekly Pulse Songs
1655,56,New,Rollin' Stone,Blake Whiten,56,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1656,57,-8,Cozy,Braxton Keith,33,49,16,Nashville,2024-10-24,City Weekly Pulse Songs
1657,58,New,Time On My Hands (feat. Jim James),"Wilder Woods, Jim James",58,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1658,59,New,Noid,"Tyler, The Creator",59,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1659,60,-16,Brokey,Latto,35,44,10,Nashville,2024-10-24,City Weekly Pulse Songs
1660,61,-7,Hell is a Dance Floor,Vincent Mason,10,54,6,Nashville,2024-10-24,City Weekly Pulse Songs
1661,62,+4,End Up Gone,ian,49,66,3,Nashville,2024-10-24,City Weekly Pulse Songs
1662,63,-10,Maxed Out,Bayker Blankenship,14,53,24,Nashville,2024-10-24,City Weekly Pulse Songs
1663,64,+14,One Take Freestyle,1900Rugrat,64,78,3,Nashville,2024-10-24,City Weekly Pulse Songs
1664,65,-14,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",29,51,13,Nashville,2024-10-24,City Weekly Pulse Songs
1665,66,New,Awaken,Breaking Benjamin,66,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1666,67,+18,Strangers,"Kameron Marlowe, Ella Langley",1,85,3,Nashville,2024-10-24,City Weekly Pulse Songs
1667,68,-10,LIL DEMON,Future,39,58,4,Nashville,2024-10-24,City Weekly Pulse Songs
1668,69,-1,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",11,68,21,Nashville,2024-10-24,City Weekly Pulse Songs
1669,70,-29,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",41,41,2,Nashville,2024-10-24,City Weekly Pulse Songs
1670,71,+5,M.I.A.,Graham Barham,21,76,7,Nashville,2024-10-24,City Weekly Pulse Songs
1671,72,+14,October Moon,Richy Mitch & The Coal Miners,72,86,2,Nashville,2024-10-24,City Weekly Pulse Songs
1672,73,+6,That's Who I Praise,Brandon Lake,8,79,13,Nashville,2024-10-24,City Weekly Pulse Songs
1673,74,New,I Need Help,"Connor Price, Taylor Hill, Maverick City Music, Nick Day",74,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1674,75,New,THE END,Bilmuri,75,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1675,76,New,hold my beer,Alana Springsteen,76,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1676,77,-10,The Viper,BabyChiefDoit,67,67,4,Nashville,2024-10-24,City Weekly Pulse Songs
1677,78,Re-Entry,Nostalgia,Conner Smith,16,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1678,79,Re-Entry,Overtime (feat. Kacey Musgraves),"Rainbow Kitten Surprise, Kacey Musgraves",6,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1679,80,-19,Spring Into Summer,Lizzy McAlpine,61,61,2,Nashville,2024-10-24,City Weekly Pulse Songs
1680,81,-9,Just Like Johnny,Redferrin,34,72,25,Nashville,2024-10-24,City Weekly Pulse Songs
1681,82,-19,Lonely Road (with Jelly Roll),"mgk, Jelly Roll",28,63,13,Nashville,2024-10-24,City Weekly Pulse Songs
1682,83,-8,Fix What You Didn't Break,Nate Smith,28,75,9,Nashville,2024-10-24,City Weekly Pulse Songs
1683,84,New,Both Ways,Juice WRLD,84,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1684,85,+9,After All The Bars Are Closed,Thomas Rhett,9,94,2,Nashville,2024-10-24,City Weekly Pulse Songs
1685,86,-15,JIM BOB,HARDY,2,71,5,Nashville,2024-10-24,City Weekly Pulse Songs
1686,87,-23,Somebody Else - Spotify Singles,ROLE MODEL,64,64,5,Nashville,2024-10-24,City Weekly Pulse Songs
1687,88,New,Somebody Prayed (feat. Dylan Scott),"Crowder, Dylan Scott",88,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1688,89,-15,Help Me,Real Boston Richey,31,74,16,Nashville,2024-10-24,City Weekly Pulse Songs
1689,90,-31,Anchor,49 Winchester,10,59,10,Nashville,2024-10-24,City Weekly Pulse Songs
1690,91,-3,Darlin',Chase Matthew,12,88,3,Nashville,2024-10-24,City Weekly Pulse Songs
1691,92,-42,Next Week,Sterling Elza,27,50,4,Nashville,2024-10-24,City Weekly Pulse Songs
1692,93,-76,Three Car Garage,Flatland Cavalry,17,17,2,Nashville,2024-10-24,City Weekly Pulse Songs
1693,94,-38,Apple featuring the japanese house,"Charli xcx, The Japanese House",56,56,2,Nashville,2024-10-24,City Weekly Pulse Songs
1694,95,New,Down By The River,Jameson Rodgers,95,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1695,96,New,Hotel Bible,Max McNown,96,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1696,97,-51,Stand Still (feat. Mara Justine),"Maverick City Music, Song House, Mara Justine",46,46,2,Nashville,2024-10-24,City Weekly Pulse Songs
1697,98,-41,U Kno What To Do (UKWTD),Sexyy Red,18,57,7,Nashville,2024-10-24,City Weekly Pulse Songs
1698,99,-29,Sober Sundays,"The Castellows, Wyatt Flores",8,70,13,Nashville,2024-10-24,City Weekly Pulse Songs
1699,100,Re-Entry,Arm's Length,Kacey Musgraves,41,—,1,Nashville,2024-10-24,City Weekly Pulse Songs
1700,1,+1,Federal Nightmares,Rod Wave,1,2,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1701,2,Re-Entry,HOLLON,GloRilla,2,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1702,3,+2,2AM,BigXthaPlug,3,5,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1703,4,Re-Entry,Trip Out,T99zy,1,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1704,5,+2,WYD (with GloRilla & Big Boogie),"Moneybagg Yo, GloRilla, Big Boogie",5,7,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1705,6,New,Ends of the Earth,Ty Myers,6,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1706,7,+8,Help Me 2,Real Boston Richey,7,15,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1707,8,–,85 Cutlass,Rylo Rodriguez,2,8,10,New Orleans,2024-10-24,City Weekly Pulse Songs
1708,9,+1,Georgia Peach,Latto,9,10,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1709,10,-4,GLOVES & DRACS (BLACK AF1s),Baby Kia,6,6,5,New Orleans,2024-10-24,City Weekly Pulse Songs
1710,11,Re-Entry,Champain,NoCap,11,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1711,12,+4,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",5,16,13,New Orleans,2024-10-24,City Weekly Pulse Songs
1712,13,+19,BUMBAA,"Ohthatsmizz, Sturdyyoungin",13,32,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1713,14,New,Love Somebody,Morgan Wallen,14,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1714,15,+2,The Viper,BabyChiefDoit,15,17,4,New Orleans,2024-10-24,City Weekly Pulse Songs
1715,16,-5,Same,YTB Fatt,3,11,30,New Orleans,2024-10-24,City Weekly Pulse Songs
1716,17,+4,U Kno What To Do (UKWTD),Sexyy Red,5,21,7,New Orleans,2024-10-24,City Weekly Pulse Songs
1717,18,-5,My Baby (feat. STAR BANDZ),"Sugarhill Ddot, STAR BANDZ",13,13,7,New Orleans,2024-10-24,City Weekly Pulse Songs
1718,19,New,House Again,Hudson Westbrook,19,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1719,20,+2,One Take Freestyle,1900Rugrat,20,22,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1720,21,Re-Entry,BOP (feat. GloRilla),"Big Boogie, DJ Drama, GloRilla",9,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1721,22,+27,Change My Mind,Riley Green,22,49,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1722,23,+4,End Up Gone,ian,23,27,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1723,24,New,Drive Da Boat (feat. BabyChiefDoit),"BAK Jay, BabyChiefDoit",24,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1724,25,-2,Sorry Not Sorry,"Lil Yachty, Veeze",20,23,10,New Orleans,2024-10-24,City Weekly Pulse Songs
1725,26,-7,Blood In Blood Out,Lil Scoom89,17,19,12,New Orleans,2024-10-24,City Weekly Pulse Songs
1726,27,+2,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",27,29,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1727,28,-8,Game Over,Yungeen Ace,6,20,17,New Orleans,2024-10-24,City Weekly Pulse Songs
1728,29,+6,Yonce Freestyle (feat. Sexyy Red & B.G.),"Kevin Gates, B.G., Sexyy Red",4,35,29,New Orleans,2024-10-24,City Weekly Pulse Songs
1729,30,+1,LIL DEMON,Future,28,31,4,New Orleans,2024-10-24,City Weekly Pulse Songs
1730,31,+2,F*cked A Fan,"Veeze, Rylo Rodriguez",19,33,15,New Orleans,2024-10-24,City Weekly Pulse Songs
1731,32,Re-Entry,Mr Pot Scraper,BossMan Dlow,3,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1732,33,-5,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",9,28,4,New Orleans,2024-10-24,City Weekly Pulse Songs
1733,34,New,HIM ALL ALONG,Gunna,34,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1734,35,-1,Happy Face,Treaty Oak Revival,6,34,6,New Orleans,2024-10-24,City Weekly Pulse Songs
1735,36,-11,NISSAN ALTIMA,Doechii,25,25,7,New Orleans,2024-10-24,City Weekly Pulse Songs
1736,37,+2,Run Your Mouth,Gavin Adcock,13,39,12,New Orleans,2024-10-24,City Weekly Pulse Songs
1737,38,New,You For A Reason,Warren Zeiders,38,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1738,39,Re-Entry,Act A Donkey,YoungBoy Never Broke Again,2,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1739,40,New,Gang Baby,NLE Choppa,40,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1740,41,+4,I Never Lie,Zach Top,15,45,21,New Orleans,2024-10-24,City Weekly Pulse Songs
1741,42,+9,weren't for the wind,Ella Langley,42,51,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1742,43,New,Holding On,Bailey Zimmerman,43,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1743,44,Re-Entry,Casamigos,Koe Wetzel,11,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1744,45,-3,Monitoring Me,Lil Durk,42,42,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1745,46,New,Noid,"Tyler, The Creator",46,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1746,47,-4,Break It Right Back,Megan Moroney,13,43,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1747,48,-1,Winning Streak,Jelly Roll,47,47,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1748,49,+3,40 Mo' Reasons,MudBaby Ru,49,52,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1749,50,New,That’s So True,Gracie Abrams,50,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1750,51,-1,I'm Still Fine,The Red Clay Strays,31,50,7,New Orleans,2024-10-24,City Weekly Pulse Songs
1751,52,New,GEEK TIMË,Yeat,52,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1752,53,+10,Cozy,Braxton Keith,33,63,18,New Orleans,2024-10-24,City Weekly Pulse Songs
1753,54,+32,Blue Devils (feat. DaBaby) - Remix,"Trap Dickey, DaBaby",43,86,8,New Orleans,2024-10-24,City Weekly Pulse Songs
1754,55,–,28,Zach Bryan,16,55,13,New Orleans,2024-10-24,City Weekly Pulse Songs
1755,56,+14,Here We Go (Uh Oh),Coco Jones,49,70,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1756,57,New,But Daddy I Love Him,Taylor Swift,57,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1757,58,Re-Entry,OKAY,JT,8,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1758,59,+3,MUTT,Leon Thomas,59,62,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1759,60,+20,Cavalier,Juice WRLD,60,80,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1760,61,+10,AR (feat. BigXthaPlug),"MO3, That Mexican OT, BigXthaPlug",5,71,22,New Orleans,2024-10-24,City Weekly Pulse Songs
1761,62,-9,Thoughts of You,Ole 60,30,53,5,New Orleans,2024-10-24,City Weekly Pulse Songs
1762,63,Re-Entry,By Tomorrow,Hunxho,19,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1763,64,-3,Jailbreak,"Waylon Wyatt, Bayker Blankenship",39,61,7,New Orleans,2024-10-24,City Weekly Pulse Songs
1764,65,–,Wind Up Missin’ You,Tucker Wetmore,11,65,18,New Orleans,2024-10-24,City Weekly Pulse Songs
1765,66,-9,For Me,Loe Shimmy,57,57,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1766,67,-1,Can't Hold Me Down,"Lil Wayne, Lil Yachty, Pharrell Williams, Doodles, Kyle Richh",34,66,7,New Orleans,2024-10-24,City Weekly Pulse Songs
1767,68,-10,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,21,58,14,New Orleans,2024-10-24,City Weekly Pulse Songs
1768,69,–,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",23,69,21,New Orleans,2024-10-24,City Weekly Pulse Songs
1769,70,+20,Carry It On,DaBaby,63,90,4,New Orleans,2024-10-24,City Weekly Pulse Songs
1770,71,New,Awaken,Breaking Benjamin,71,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1771,72,–,Someone In This Room (feat. Bailey Zimmerman),"Jessie Murph, Bailey Zimmerman",38,72,7,New Orleans,2024-10-24,City Weekly Pulse Songs
1772,73,-9,Losers (Feat. Jelly Roll),"Post Malone, Jelly Roll",64,64,4,New Orleans,2024-10-24,City Weekly Pulse Songs
1773,74,–,B.A.S. (feat. Kyle Richh),"Megan Thee Stallion, Kyle Richh",31,74,14,New Orleans,2024-10-24,City Weekly Pulse Songs
1774,75,–,Good Graces,Sabrina Carpenter,70,75,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1775,76,New,Welcome To The Plains,Wyatt Flores,76,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1776,77,-4,No Face,Drake,56,73,8,New Orleans,2024-10-24,City Weekly Pulse Songs
1777,78,+17,Enough (Miami),Cardi B,16,95,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1778,79,+5,I Ain't Sayin',Jordan Davis,75,84,10,New Orleans,2024-10-24,City Weekly Pulse Songs
1779,80,+13,Hell is a Dance Floor,Vincent Mason,30,93,9,New Orleans,2024-10-24,City Weekly Pulse Songs
1780,81,Re-Entry,4×4×U,Lainey Wilson,80,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1781,82,-6,Thought of You,Sam Barber,76,76,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1782,83,-15,120,Lil Tecca,54,68,5,New Orleans,2024-10-24,City Weekly Pulse Songs
1783,84,-7,I Did It,"OT7 Quanny, YTB Fatt",62,77,3,New Orleans,2024-10-24,City Weekly Pulse Songs
1784,85,New,Don’t HMU,Anella Herim,85,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1785,86,New,Apple featuring the japanese house,"Charli xcx, The Japanese House",86,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1786,87,-5,Boogieman,EBK Jaaybo,32,82,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1787,88,-7,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",74,81,4,New Orleans,2024-10-24,City Weekly Pulse Songs
1788,89,+9,That's Who I Praise,Brandon Lake,32,98,13,New Orleans,2024-10-24,City Weekly Pulse Songs
1789,90,Re-Entry,Hangin’ On (feat. Morgan Wallen),"ERNEST, Morgan Wallen",22,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1790,91,Re-Entry,Maxed Out,Bayker Blankenship,26,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1791,92,Re-Entry,Dope Boy (with Nigo),"Young Thug, Nigo",78,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1792,93,New,First Rodeo,Kelsea Ballerini,93,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1793,94,-2,Lonely Road (with Jelly Roll),"mgk, Jelly Roll",52,92,13,New Orleans,2024-10-24,City Weekly Pulse Songs
1794,95,-8,Next Week,Sterling Elza,71,87,4,New Orleans,2024-10-24,City Weekly Pulse Songs
1795,96,-8,Tree Birds,Dylan Gossett,88,88,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1796,97,Re-Entry,Just Like Johnny,Redferrin,74,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1797,98,-19,Yea Yea,STAR BANDZ,25,79,2,New Orleans,2024-10-24,City Weekly Pulse Songs
1798,99,New,Options (feat. Lil Baby),"Jordan Adetunji, Lil Baby",99,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1799,100,New,Ruined Me,Muni Long,100,—,1,New Orleans,2024-10-24,City Weekly Pulse Songs
1800,1,+8,SOTO SHUFFLE,"El Alfa, Foreign Teck",1,9,3,New York City,2024-10-24,City Weekly Pulse Songs
1801,2,+1,In The Living Room,Maggie Rogers,2,3,3,New York City,2024-10-24,City Weekly Pulse Songs
1802,3,-2,Omg,Candelita,1,1,5,New York City,2024-10-24,City Weekly Pulse Songs
1803,4,New,Apple featuring the japanese house,"Charli xcx, The Japanese House",4,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1804,5,-1,rump punch,Cash Cobain,1,4,5,New York City,2024-10-24,City Weekly Pulse Songs
1805,6,New,ROCKMAN,Mk.gee,6,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1806,7,+60,NISSAN ALTIMA,Doechii,3,67,2,New York City,2024-10-24,City Weekly Pulse Songs
1807,8,New,That’s So True,Gracie Abrams,8,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1808,9,Re-Entry,Body (feat. Cash Cobain),"A Boogie Wit da Hoodie, Cash Cobain",2,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1809,10,New,LA CLIPPERZ,"KdotB OT3, Mdot 59",10,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1810,11,New,Ojos,Raulin Ramos,11,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1811,12,New,THINGS BEHIND THINGS BEHIND THINGS,Bon Iver,12,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1812,13,Re-Entry,Or What,"NLE Choppa, 41, Kyle Richh",13,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1813,14,New,Perfect Stranger,FKA twigs,14,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1814,15,New,HIM ALL ALONG,Gunna,15,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1815,16,New,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",16,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1816,17,New,Noid,"Tyler, The Creator",17,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1817,18,New,She Wants To Go Dancing,Mt. Joy,18,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1818,19,New,Love Somebody,Morgan Wallen,19,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1819,20,New,I Hate Your Ex-Girlfriend (feat. Doechii),"BANKS, Doechii",20,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1820,21,New,Divina,Pintorin,21,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1821,22,New,Survive The Night,"Shenseea, Chris Rivers, Nas, Cam'ron, Ghostface Killah, RZA, Busta Rhymes",22,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1822,23,New,CULPA DEL SISTEMA,dreyx,23,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1823,24,Re-Entry,It's ok I'm ok,Tate McRae,24,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1824,25,New,Make Way For Cyrus,"Sasha Hutchings, Colman Domingo",25,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1825,26,New,Roll Call,"Aneesa Folds, Kenita Miller, Sasha Hutchings, Phillipa Soo, Amber Gray, Gizel Jiménez, Jasmine Cephas-Jones, Shenseea",26,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1826,27,New,Dale 2,"Yailin la Mas Viral, Kreizy k",27,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1827,28,New,Love Songs,Clairo,28,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1828,29,New,If You Can Count,Ms. Lauryn Hill,29,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1829,30,New,All Mine,Sleepy Hallow,30,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1830,31,New,Sunset Boulevard,"Tom Francis, Andrew Lloyd Webber",31,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1831,32,New,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",32,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1832,33,Re-Entry,Circadian Rhythm,Drake,14,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1833,34,Re-Entry,Wristwatch,MJ Lenderman,34,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1834,35,New,Warriors' Cypher,"Kenita Miller, Sasha Hutchings, Phillipa Soo, Aneesa Folds, Amber Gray, Gizel Jiménez, Jasmine Cephas-Jones, Kaila Mullady",35,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1835,36,Re-Entry,Sharpest Tool,Sabrina Carpenter,7,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1836,37,Re-Entry,Soup,Remi Wolf,5,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1837,38,New,"Maintenance Man (feat. Jenn Carter, Dee Billz)","41, Kyle Richh, Jenn Carter, Nemzzz, Dee Billz",38,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1838,39,New,Levitating,RÜFÜS DU SOL,39,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1839,40,New,MUTT,Leon Thomas,40,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1840,41,New,Move (feat. Camila Cabello),"Adam Port, Stryv, Camila Cabello, Keinemusik, Malachiii, Orso",41,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1841,42,Re-Entry,The Rain,TAI,5,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1842,43,Re-Entry,Diet Pepsi,Addison Rae,2,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1843,44,New,Woodlawn Cemetery,"Jasmine Cephas-Jones, Sasha Hutchings, Kenita Miller, Phillipa Soo, Gizel Jiménez, Amber Gray",44,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1844,45,Re-Entry,Say No More,M Row,24,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1845,46,Re-Entry,Somebody Else - Spotify Singles,ROLE MODEL,46,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1846,47,New,Bless Ha,Sheff G,47,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1847,48,+31,Infiel,La para musical 1217,48,79,2,New York City,2024-10-24,City Weekly Pulse Songs
1848,49,Re-Entry,Bo Bo Bo,Jey One,22,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1849,50,+31,October Rain,Shulem,50,81,3,New York City,2024-10-24,City Weekly Pulse Songs
1850,51,Re-Entry,Scatter,"Dee Billz, Kyle Richh, 41",51,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1851,52,New,PUSH 2 START,Tyla,52,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1852,53,New,Obsesión,Mathews la para 0408,53,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1853,54,New,LIL DEMON,Future,54,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1854,55,Re-Entry,ms. beautiful V!,Chow Lee,4,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1855,56,New,Agosto,Railin el guapo FYL,56,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1856,57,-47,Warriors of the Starlight,NightShade823,10,10,2,New York City,2024-10-24,City Weekly Pulse Songs
1857,58,New,La dificil,Ana lauris la bellaca 5847,58,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1858,59,New,Yo Soy Loco Cuando Lo Mueve Asi,Chikito el feo 3294,59,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1859,60,-45,Trellas,Laura la sierva 895,15,15,2,New York City,2024-10-24,City Weekly Pulse Songs
1860,61,New,Caro,El bombero de la fe 777,61,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1861,62,-56,Electric Embrace,Black Zero079,1,6,4,New York City,2024-10-24,City Weekly Pulse Songs
1862,63,New,Te Extraño,Xaviel el mejor 684,63,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1863,64,-57,Saga of the Sapphire Kingdom,NeonTag880,4,7,4,New York City,2024-10-24,City Weekly Pulse Songs
1864,65,Re-Entry,Que linda,"Lomiiel, Donaty, Papera, Leo RD",20,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1865,66,New,Mi Niña Cambió,La Negra de villa 594,66,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1866,67,New,End Up Gone,ian,67,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1867,68,New,Rockets,MaxThaDemon,68,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1868,69,-64,Robo Rhythms,Ocean Blaze 6781,2,5,3,New York City,2024-10-24,City Weekly Pulse Songs
1869,70,New,Orphan Town,"Utkarsh Ambudkar, Casey Likes, Julia Harriman, Gizel Jiménez, Phillipa Soo, Jasmine Cephas-Jones, Amber Gray, Kenita Miller, Sasha Hutchings",70,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1870,71,-60,Urban Escape,El FERTIL11,2,11,4,New York City,2024-10-24,City Weekly Pulse Songs
1871,72,New,Amor,Estrellas de la Kumbia,72,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1872,73,Re-Entry,Boomer,"Kay Glizz, Nunnie Da III",15,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1873,74,New,Subway Surfers,"Woddy, Mdot 59",74,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1874,75,Re-Entry,Ambient Whispers,AquaGale7916,9,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1875,76,New,Darlin',Jean Dawson,76,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1876,77,Re-Entry,ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),"Don Toliver, Charlie Wilson, Cash Cobain",8,—,1,New York City,2024-10-24,City Weekly Pulse Songs
1877,78,-70,Technological Thrills,Lider Lirico66,3,8,2,New York City,2024-10-24,City Weekly Pulse Songs
1878,79,New,My Baby (feat. STAR BANDZ),"Sugarhill Ddot, STAR BANDZ",79,—,1,New York City,2024-10-24,City Weekly Pulse Songs
